Company,Position,Location,Experience,Requirements,Main Tasks,Salary,Link,Source
N/A,backend (python) 개발자,서울강남구경력 3~10년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51766256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,2025년 하반기 딥러닝/머신러닝/연구원/Python外 모집 공고,서울영등포구경력무관대졸↑무기계약직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384520&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"SW 개발 모집 (C/C++,C#,Python)","대전유성구경력무관대졸↑정규직3,300 만원",경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51734662&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"[미소정보기술] JAVA,Python및 인공지능(AI) 플랫폼 개발자",서울강남구경력 2~20년초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51699590&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[정규직] AI 개발자 (Python개발자),서울영등포구경력무관초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51711007&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,Python개발자 채용,서울강남구경력무관초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51345257&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,파이썬(Python) 개발자 채용 - 인턴직 (정규직 전환 가능),서울영등포구신입초대졸↑인턴직300 만원,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51718183&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,파이썬(Python) 개발자 채용 - 정규직 (신입/경력),"서울영등포구신입·경력초대졸↑정규직4,000 만원",신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51745379&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,파이썬(Python) 기반의 풀스택 개발자 모십니다.,서울강남구경력무관고졸↑정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51803534&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,마켓빌리 JAVA / DBA / TA / AA /PYTHONRecruitment,서울구로구경력무관학력무관정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51658217&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,서울강남구신입·경력학력무관정규직,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51670900&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"[플랜아이] 개발자 채용 PHP WEB, AI(Python)",대전유성구경력무관학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51816229&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,연세대의료원 산학협력단Python프론트앤드 개발자 모집,서울서대문구경력무관학력무관계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51770434&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[데이트팝]Python백엔드 개발자,서울서초구신입대졸↑정규직,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51704180&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"(주)엠케이디 Java, Node,Python및 AI 개발자 모집",부산남구경력무관대졸↑정규직·인턴직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51636402&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[판교/글로벌기업] 모터센스 시니어 백엔드 개발자 (Python),경기성남시 분당구경력 3~15년학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51775466&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"Linux/Unix기반 개발자(경력) 모집 (C,Go,Python)",서울송파구경력 1~5년초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51452797&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[슈프리마]Python개발자(해외기술지원 AI Chatbot&데이터 운영),경기성남시 분당구경력 3~8년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51536133&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"Java 웹개발자 모집 - 스마트팩토리, MES,Python경력 우대",경기안양시 만안구경력3년↑초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51356691&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,차량용 S/W Test 자동화 검증(Python),인천서구신입초대졸↑정규직,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51539818&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[재택근무] REACT · PHP ·PYTHON개발자 모집,서울양천구경력3년↑초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51437480&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[SIIC 부산센터] 자동화(Python) 담당자 채용,부산부산진구경력 1~3년학력무관계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51617717&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,Python개발자 모집,서울강남구경력 3~5년학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51757406&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,보안회사 파이선(python) 자바 java 서버 개발 엔지니어,서울강남구경력 2~15년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51766351&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"AI 서비스 플랫폼 개발자 모집(PYTHON, JAVA)",부산연제구경력3년↑대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51407511&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[솔루션] 백엔드 개발자 모집(python),서울관악구경력 2~15년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51702902&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[신입]Python(파이썬) 개발자 인재모집,대전유성구경력무관학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51561417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[백엔드 개발자]Python개발자 모집,서울관악구신입·경력대졸↑정규직,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51592120&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[Python] SW 개발자 모집,"울산남구경력무관대졸↑정규직2,880 만원",경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51720046&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"개발자(C#,JavaScript,Python)/ 클라우드 및 AI 개발자 / 모델러",서울금천구경력 3~10년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51473218&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,파이썬 (Python) 개발자 모집 - AI 개발 경력자 우대,경기화성시경력2년↑대졸↑정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51731662&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,국가연구과제 개발자 모집(Python/Pytorch/API/JAVA/React),서울강남구경력 4~15년대졸↑정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51751240&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"[Python,Node] 초기 스타트업 팀원 개발자 구인",서울강서구경력 2~12년초대졸↑정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51670899&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,주식회사코드플렉스Python개발자 모집,서울송파구경력 1~10년초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51556678&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,디클(주) - 파이썬Python개발자 프로그래머 채용,인천남동구경력무관학력무관정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51746173&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,프론트엔드 개발자 (React / Next.js /Python),서울송파구경력2년↑대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51798253&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,[데이트팝]Python백엔드 개발자,서울서초구경력 1~3년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51704150&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,(주)상전정공Python기반 백엔드 개발 담당 모집,경기화성시경력무관초대졸↑정규직300 만원,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51783381&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
N/A,"[이천 하이닉스] JAVA,Python개발자 정규직 채용",서울구로구경력12년↑초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51770900&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=a71a1fd0-0a7e-4dec-8c17-7ab65c91c7b1,사람인
대기업 A,python 개발자,서울 강남구,3-5년,"python 경험 필수, 대기업 경험 우대",python 기반 시스템 개발 및 유지보수,"4,000-6,000만원",https://www.jobkorea.co.kr,잡코리아
중견기업 B,시니어 python 엔지니어,서울 서초구,5-7년,"python 전문가, 팀 리딩 경험 우대",python 기반 서비스 아키텍처 설계,"5,000-7,000만원",https://www.jobkorea.co.kr,잡코리아
스타트업 C,python 백엔드 개발자,서울 마포구,2-4년,"python 숙련자, 스타트업 경험 우대",python 기반 백엔드 서비스 개발,"3,500-5,000만원",https://www.jobkorea.co.kr,잡코리아
IT기업 D,python 풀스택 개발자,경기 성남시,3-6년,python + React/Vue.js 경험 필수,python 기반 풀스택 웹 서비스 개발,"4,500-6,500만원",https://www.jobkorea.co.kr,잡코리아
금융기업 E,python 데이터 엔지니어,서울 중구,4-8년,python + 데이터베이스 전문가,python 기반 데이터 파이프라인 구축,"5,500-8,000만원",https://www.jobkorea.co.kr,잡코리아
