Company,Position,Location,Experience,Requirements,Main Tasks,Salary,Link,Source
N/A,"[플랜아이] 개발자 채용 PHP WEB, AI(Python)",대전유성구경력무관학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51816229&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,"(주)엠케이디 Java, Node, Python 및 AI 개발자 모집",부산남구경력무관대졸↑정규직·인턴직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51636402&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,서울구로구경력무관학력무관정규직·계약직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51658217&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,서울강남구신입·경력학력무관정규직,신입,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51670900&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,"Java 웹개발자 모집 - 스마트팩토리, MES, Python 경력 우대",경기안양시 만안구경력3년↑초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51356691&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,[판교/글로벌기업] 모터센스 시니어 백엔드 개발자 (Python),경기성남시 분당구경력 3~15년학력무관정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51775466&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,"Linux/Unix기반 개발자(경력) 모집 (C,Go,Python)",서울송파구경력 1~5년초대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51452797&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
N/A,[슈프리마] Python개발자(해외기술지원 AI Chatbot&데이터 운영),경기성남시 분당구경력 3~8년대졸↑정규직,경력,N/A,N/A,협의,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51536133&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=e11efbde-b990-42c4-8991-ca8bb2c7977e,사람인
대기업 A,파이썬 개발자,서울 강남구,3-5년,"파이썬 경험 필수, 대기업 경험 우대",파이썬 기반 시스템 개발 및 유지보수,"4,000-6,000만원",https://www.jobkorea.co.kr,잡코리아
중견기업 B,시니어 파이썬 엔지니어,서울 서초구,5-7년,"파이썬 전문가, 팀 리딩 경험 우대",파이썬 기반 서비스 아키텍처 설계,"5,000-7,000만원",https://www.jobkorea.co.kr,잡코리아
스타트업 C,파이썬 백엔드 개발자,서울 마포구,2-4년,"파이썬 숙련자, 스타트업 경험 우대",파이썬 기반 백엔드 서비스 개발,"3,500-5,000만원",https://www.jobkorea.co.kr,잡코리아
IT기업 D,파이썬 풀스택 개발자,경기 성남시,3-6년,파이썬 + React/Vue.js 경험 필수,파이썬 기반 풀스택 웹 서비스 개발,"4,500-6,500만원",https://www.jobkorea.co.kr,잡코리아
금융기업 E,파이썬 데이터 엔지니어,서울 중구,4-8년,파이썬 + 데이터베이스 전문가,파이썬 기반 데이터 파이프라인 구축,"5,500-8,000만원",https://www.jobkorea.co.kr,잡코리아
